Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,HeadPitch_filtered,HeadRoll_filtered,HeadYaw_filtered
20:52:22:12.333,61,0.1082347184,0.1364830732,0.115588285,0.0,0.0,0.1185422763,0.0,0.1082167029,0.1366634816,0.0050778599,0.0,0.0,0.1185396984,0.0,0.0230038129,0.0046342285,0.0,0.0471897088,0.0579452999,0.0230986588,0.0479551032,0.0080664083,0.0,0.2142948657,0.2540715933,0.0,0.0,0.0639174432,0.0688612834,0.0924358517,0.0909288675,0.0881677642,0.0295046102,0.1294873059,0.0750123784,0.0423356965,0.0443032421,0.1134537607,0.1013764963,0.0325994901,0.0358492061,0.1011886373,0.1007485017,0.0999533087,0.0,0.0,0.0137010505,0.081052877,0.0876037702,0.1117683426,0.1264007986,1.1316e-05,0.0160629507,-0.1435272545,0.0166198909,-0.0030910855,0.0834833682,-0.000258655,0.0703632087,0.0835800618,0.0058897622,-0.07118254453000002,0.009656963566000001,0.004222388714
20:52:22:13.333,61,0.1048307121,0.1350337118,0.1157158092,0.0,0.0,0.1187806278,0.0,0.1048148945,0.1352113783,0.0049731848,0.0,0.0,0.1187779084,0.0,0.0229570214,0.0046703569,0.0,0.0472355857,0.0578995124,0.023071738,0.0480061509,0.00811012,0.0,0.2143464833,0.2541102469,0.0,0.0,0.0642358363,0.0691728294,0.0925662443,0.0910729095,0.0879911482,0.0295489319,0.1295470446,0.0750050396,0.0422558635,0.044213675,0.1132343486,0.1011916548,0.032427717,0.0356538147,0.1010955051,0.1006595045,0.0997367427,0.0,0.0,0.0137168216,0.0808766112,0.0873155743,0.111400269,0.1258921474,1.3363e-05,0.016664939,-0.1423724592,0.016438568,-0.0030275891,0.0825963095,-0.0002506375,0.0704460219,0.0826929659,0.0058338111,-0.07369343608600001,0.010149687970000001,0.004389524626000001
20:52:22:14.333,61,0.1033417434,0.1338968277,0.1157889292,0.0,0.0,0.1190999597,0.0,0.1033262014,0.1340721697,0.0049306517,0.0,0.0,0.1190969273,0.0,0.0229322221,0.0046668057,0.0,0.047374554,0.0579860695,0.0230523068,0.0479880087,0.0081724254,0.0,0.2146033496,0.2543392479,0.0,0.0,0.064461261,0.0693889782,0.0927446634,0.0912387595,0.087813668,0.0296272151,0.1292789876,0.0747804418,0.0420996957,0.0440429747,0.1132386029,0.1012078375,0.0322361775,0.0354352109,0.1009077877,0.1004715562,0.099704273,0.0,0.0,0.0137167955,0.0808637142,0.0871935114,0.1110186875,0.1253972352,1.81933e-05,0.0159411803,-0.1426105648,0.0161857828,-0.0030018678,0.0819003955,-0.000246405,0.0704945773,0.0819970444,0.0057884739,-0.07618836477400001,0.010648037414000002,0.004566108284000001
20:52:22:15.332,61,0.0968963951,0.1313356459,0.1149162054,0.0,0.0,0.1193751097,0.0,0.0968784466,0.1314997375,0.0057638125,0.0,0.0,0.1193719953,0.0,0.0229377355,0.0047371401,0.0,0.0474144779,0.0580048375,0.0230410937,0.0479593948,0.0083199181,0.0,0.2144870162,0.2542748153,0.0,0.0,0.0644770935,0.0693949685,0.0929819793,0.0914233848,0.0876790062,0.0296735764,0.1290664375,0.0746042058,0.0419381075,0.0438671894,0.1132183298,0.1011804715,0.0320843346,0.0352594964,0.0992786437,0.0988109633,0.099886708,0.0,0.0,0.0137515962,0.0808414444,0.0871183202,0.1106473729,0.1249870062,2.00598e-05,0.0144286724,-0.1425653994,0.0166267082,-0.0035095592,0.0803291127,-0.0002825272,0.06997215,0.0804256201,0.005635058,-0.078635516316,0.011141541298000001,0.004758286530000001
20:52:22:16.332,61,0.0938270614,0.1297626644,0.114737615,0.0,0.0,0.1198472083,0.0,0.0938151106,0.129921928,0.0059805098,0.0,0.0,0.1198441386,0.0,0.0229406822,0.0047855298,0.0,0.0474345647,0.0579409897,0.022975482,0.0479388125,0.0083730808,0.0,0.2141275406,0.2539335787,0.0,0.0,0.0646129698,0.0695398971,0.093114756,0.0915626213,0.0876401141,0.0297207944,0.1291763186,0.0746502802,0.0418509804,0.0437776111,0.1129197106,0.1008709371,0.0319516808,0.0351143666,0.1000359058,0.0995607972,0.0995419845,0.0,0.0,0.0137924701,0.0807282552,0.0869770125,0.1104189381,0.1247509196,2.51764e-05,0.0122653674,-0.1437459439,0.0172187164,-0.0036417861,0.0793653205,-0.0002896393,0.0698687881,0.0794617832,0.0055590309,-0.08104747668000001,0.011637808602000001,0.004951691122000001
20:52:22:17.331,61,0.0919780955,0.1279753745,0.1134567484,0.0,0.0,0.1202728599,0.0,0.0919713154,0.128123045,0.0072499532,0.0,0.0,0.1202698797,0.0,0.0229276773,0.0047841417,0.0,0.0473745391,0.0578579493,0.0229451172,0.0479642525,0.0085328249,0.0,0.2136646062,0.2533759475,0.0,0.0,0.0644599125,0.0693488345,0.0931450501,0.0915629491,0.0875907317,0.0296780784,0.129375115,0.0747969672,0.0418005586,0.0437325165,0.1125415415,0.1004658416,0.0319186598,0.0350641683,0.1011588275,0.1006799117,0.0991908163,0.0,0.0,0.013832056,0.0808258876,0.0870655626,0.1104102731,0.1248003989,2.63448e-05,0.0106837768,-0.14656201,0.0174139533,-0.0044151871,0.0782666728,-0.0003462682,0.0690947697,0.0783630759,0.0054212203,-0.083450120986,0.0121358785,0.005175254436000001
20:52:22:18.331,61,0.0877923518,0.1246330515,0.1112944931,0.0,0.0,0.1207290068,0.0,0.0877892151,0.1247609779,0.0093620084,0.0,0.0,0.1207261682,0.0,0.0229270644,0.0048701013,0.0,0.0472151972,0.0576711595,0.0229347441,0.0480545647,0.0087715453,0.0,0.2130322903,0.2522723377,0.0,0.0,0.0642305091,0.0690777451,0.0931512564,0.0915265009,0.0875094458,0.0296096336,0.1297881752,0.075088568,0.0418172069,0.0437551513,0.1119981334,0.0999077111,0.0318954699,0.035019394,0.101198867,0.1007123142,0.0990989506,0.0,0.0,0.0139157865,0.0809060484,0.0871638879,0.1103404313,0.124774389,2.31723e-05,0.0089808758,-0.1477111727,0.0178164355,-0.0057023247,0.0762133822,-0.0004354345,0.0677887127,0.0763096064,0.0051789791,-0.085788064004,0.012614136298000001,0.005415360906000001
20:52:22:19.331,61,0.0861037448,0.1238944829,0.1096431911,0.0,0.0,0.1212268844,0.0,0.0861026421,0.1240115762,0.0110252528,0.0,0.0,0.121224232,0.0,0.0228940658,0.0049020904,0.0,0.0470754355,0.0574453287,0.0228693243,0.0481455028,0.0087953256,0.0,0.2116955072,0.2509697676,0.0,0.0,0.0641880706,0.0690310895,0.0930616334,0.0914652497,0.0874641463,0.0295541957,0.1303544044,0.0754910633,0.0418490432,0.0438058376,0.11126405,0.0991998613,0.0318617411,0.0349881984,0.1059143692,0.1054440811,0.098292172,0.0,0.0,0.0139719537,0.0808026642,0.0870952085,0.1103136688,0.1248382702,2.52025e-05,0.0074795713,-0.1482042968,0.0183195993,-0.0067156279,0.0757560804,-0.0005097212,0.0667852089,0.0758522674,0.0050717317,-0.08808144927200001,0.013076523688,0.005654822044
20:52:22:20.330,61,0.085232839,0.1243338138,0.1091191918,0.0,0.0,0.1214530244,0.0,0.0852335393,0.1244488806,0.0115530277,0.0,0.0,0.121450536,0.0,0.0228616986,0.0049158996,0.0,0.0469396524,0.0572541691,0.0228332765,0.048264619,0.0088248812,0.0,0.2108970731,0.2501848936,0.0,0.0,0.0640455261,0.0688706934,0.0929089561,0.0913164616,0.0874127224,0.0294717662,0.130917415,0.0758980066,0.0418961719,0.0438704826,0.1106019691,0.0985505283,0.0318747275,0.0350070857,0.1074156165,0.106950067,0.0977920666,0.0,0.0,0.0140185859,0.0808119476,0.0871557593,0.1103569642,0.1249976531,1.92513e-05,0.0067778565,-0.1491506845,0.0180649646,-0.0070369602,0.0760233775,-0.0005360021,0.0664646775,0.0761195943,0.0050652847,-0.09033192128200002,0.013524136466,0.00591065656
20:52:22:21.330,61,0.0841426253,0.1224045306,0.1060862094,0.0,0.0,0.1216015741,0.0,0.0841449052,0.1224989593,0.0145268282,0.0,0.0,0.1215992197,0.0,0.0228639338,0.0049635181,0.0,0.0467360877,0.0569916815,0.0228248537,0.0484803766,0.0087389732,0.0,0.2101874352,0.2496068478,0.0,0.0,0.0638331845,0.0686717853,0.0926854312,0.0911270678,0.0874030665,0.0293787941,0.1327291876,0.0764970332,0.0420573018,0.0440498404,0.1094596982,0.097823903,0.0319169536,0.0350657962,0.1067815125,0.1063102037,0.0976979136,0.0,0.0,0.0141205397,0.0809257925,0.0873632208,0.1104667336,0.1252276599,1.53164e-05,0.0058851568,-0.1479038745,0.0178777482,-0.0088491011,0.0748333037,-0.0006634375,0.0646230578,0.0749293864,0.0048478339,-0.09250656023800001,0.01394997563,0.006177408394
