Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,HeadPitch_filtered,HeadRoll_filtered,HeadYaw_filtered
20:54:34:04.966,61,0.2298091203,0.258782506,0.1039159372,0.0,0.0,0.0775079057,0.0,0.2301173657,0.2591109276,0.0162828062,0.0,0.0,0.0775038004,0.0,0.0204079002,0.0023051512,0.0,0.0468727574,0.0685509071,0.0668068379,0.0646410584,0.0072587957,0.0,0.1426594853,0.1749275774,0.0,0.0,0.0335817114,0.0362892486,0.0926194265,0.0893544182,0.0734242424,0.0205595307,0.1254808605,0.0816977099,0.0489176661,0.050625775,0.1552136987,0.1439160109,0.0661671609,0.0691884682,0.0711922422,0.0711481795,0.0891537517,0.0,0.0,0.0192271788,0.1024146527,0.1105640978,0.1425748914,0.1557499915,1.995e-07,-0.00481669,-0.0519272275,-0.0043307859,-0.0098222597,0.1582895517,-0.0015678512,0.0626861006,0.1583949625,0.0100061512,-0.027946728645000002,-0.0011015655900000001,-0.0027070694849999997
20:54:34:05.965,61,0.2334924489,0.2585223913,0.1035855934,0.0,0.0,0.0777438432,0.0,0.2337836474,0.2588467002,0.0165618453,0.0,0.0,0.0777393132,0.0,0.0204446111,0.0021226965,0.0,0.046840135,0.0685305372,0.0666979551,0.0644211173,0.0073648375,0.0,0.142613858,0.174692139,0.0,0.0,0.0335970521,0.0362852849,0.0924433768,0.0891530812,0.0735446885,0.0206332542,0.1251384318,0.0814587995,0.0490238219,0.0507267639,0.1554041505,0.1440112293,0.0661141127,0.0690997466,0.0720891505,0.072045438,0.0890808851,0.0,0.0,0.0192322452,0.1026152,0.1106529906,0.1427909285,0.1560466886,2.055e-07,-0.0052613379,-0.0521722212,-0.004535981,-0.0099908421,0.1581284106,-0.0015931091,0.0624883957,0.1582338065,0.009964318,-0.030832926920000003,-0.0011678627700000002,-0.0028502814499999996
20:54:34:06.965,61,0.2350000292,0.2584946156,0.1030517966,0.0,0.0,0.0780389309,0.0,0.2352835536,0.258812815,0.0170791801,0.0,0.0,0.0780338645,0.0,0.0204212368,0.0020581319,0.0,0.046634838,0.0684138387,0.0664025247,0.0640871003,0.007228212,0.0,0.1420101225,0.1744408309,0.0,0.0,0.0335965976,0.0362803452,0.0924446881,0.0891354904,0.0738183334,0.0206351113,0.1251252145,0.0813715607,0.0490828343,0.0507927984,0.1541202664,0.1429784894,0.0658236593,0.0688414127,0.0724856704,0.0724418536,0.0890672728,0.0,0.0,0.0192322228,0.1026600376,0.1106892377,0.1429091841,0.1563165635,3.268e-07,-0.005605035,-0.0529081076,-0.0042399056,-0.0103029562,0.1581082493,-0.0016426624,0.0621665716,0.1582135856,0.0099117793,-0.033669317505000004,-0.0012680658950000002,-0.0029801496549999996
20:54:34:07.965,61,0.2358886302,0.2585393488,0.1031646803,0.0,0.0,0.0783876479,0.0,0.2361783832,0.2588588595,0.0170012824,0.0,0.0,0.0783823133,0.0,0.0204300601,0.00195192,0.0,0.0466764495,0.0684858635,0.0663238019,0.0639685914,0.007010852,0.0,0.1420933157,0.1754380912,0.0,0.0,0.0336249322,0.0363161936,0.0923805088,0.0890556052,0.0739621595,0.0206992645,0.1248071194,0.0811517462,0.0491456874,0.0508609228,0.1541297585,0.1430823356,0.0657277554,0.0688095689,0.0735936537,0.0735541806,0.0888973698,0.0,0.0,0.0192058757,0.1030199677,0.1110999286,0.1432252824,0.1568386555,2.377e-07,-0.0069204126,-0.0543047003,-0.0034426507,-0.010255917,0.1581362784,-0.0016354582,0.0622343831,0.1582416296,0.0099243671,-0.036457769565000006,-0.0013645585900000001,-0.0031014546299999997
20:54:34:08.964,61,0.2367263883,0.2581224442,0.103579618,0.0,0.0,0.0787205547,0.0,0.2370241284,0.2584458888,0.0165868644,0.0,0.0,0.0787151158,0.0,0.0204991642,0.0019374794,0.0,0.0467196703,0.0685552433,0.0665403008,0.0639008209,0.0068615889,0.0,0.1419036388,0.175747782,0.0,0.0,0.0335902274,0.0362900421,0.0922957286,0.088933602,0.0742442086,0.0207585227,0.124701336,0.0810761899,0.0493507273,0.0510762297,0.1540402621,0.1430579275,0.0657700077,0.0688911602,0.0740750507,0.0740374774,0.0887474865,0.0,0.0,0.0193052385,0.104375042,0.1131991968,0.1449508965,0.1601701081,2.568e-07,-0.0070689279,-0.0559841916,-0.0024334101,-0.0100063244,0.1578835994,-0.0015930659,0.0624872297,0.1579889655,0.0099484548,-0.039250789200000004,-0.0014795677200000002,-0.0031924869999999995
20:54:34:09.964,61,0.2373922467,0.2581516504,0.1038772017,0.0,0.0,0.0790093318,0.0,0.2376915365,0.2584785819,0.0162855145,0.0,0.0,0.0790037289,0.0,0.0205539614,0.0020040048,0.0,0.0467254333,0.0685991272,0.0667841136,0.0638839379,0.0066986792,0.0,0.1414852291,0.1757717878,0.0,0.0,0.0335183553,0.0362286977,0.0921919942,0.0888054743,0.074597694,0.0207819622,0.1248823702,0.0811739862,0.0495848879,0.0513216145,0.1535833329,0.1426742524,0.0657851547,0.0689435825,0.0741292983,0.0740928501,0.0887264833,0.0,0.0,0.0194517598,0.1051937938,0.1142518446,0.1461839527,0.1620596647,3.48e-07,-0.0065364642,-0.0578318462,-0.0012344811,-0.0098244995,0.157903254,-0.0015643172,0.0626665652,0.158008635,0.009978231,-0.04196479487,-0.0016169073800000001,-0.0032315036549999997
20:54:34:10.963,61,0.2468793243,0.2598536015,0.1043320373,0.0,0.0,0.0794613436,0.0,0.2473589182,0.260188818,0.0158370584,0.0,0.0,0.0794555545,0.0,0.0206354186,0.0019669291,0.0,0.0469143353,0.0687516928,0.0671544895,0.0640426055,0.006414142,0.0,0.1411302984,0.1758540273,0.0,0.0,0.0334742218,0.0362155102,0.0921273902,0.0887652487,0.0746613964,0.0208323058,0.1248016655,0.0811842978,0.0497462377,0.0514817722,0.1537680477,0.1429684609,0.0659892112,0.0692043155,0.0746515915,0.0746161714,0.0884819925,0.0,0.0,0.0195146855,0.1058392301,0.1150082797,0.1469026059,0.1630536914,2.426e-07,-0.0062522362,-0.0584028214,-0.0004790478,-0.0095523652,0.1589476466,-0.0015312184,0.062930502,0.1590530425,0.0100875534,-0.044619134615,-0.001764669075,-0.0032379569
20:54:34:11.963,61,0.249902159,0.2609543502,0.1041252613,0.0,0.0,0.0797035843,0.0,0.2504265606,0.2612893879,0.0159975309,0.0,0.0,0.0796976089,0.0,0.0207195207,0.0019113084,0.0,0.0469611324,0.0687951744,0.0675845891,0.0641327724,0.0063294685,0.0,0.1406000406,0.1754066199,0.0,0.0,0.0333896466,0.0361347795,0.0919774473,0.0886226296,0.0747582912,0.0208641551,0.1247979328,0.0812001675,0.0499727838,0.0517068952,0.1536948234,0.1429192126,0.0661059842,0.0693023279,0.0743610337,0.0743265375,0.0884499252,0.0,0.0,0.0196711626,0.1064419597,0.1156010181,0.1476228982,0.1638496965,2.476e-07,-0.0047902721,-0.0592290461,-8.2625e-06,-0.0096481154,0.1596201062,-0.0015532218,0.0627990067,0.1597255021,0.0101097906,-0.047246950665,-0.0019452940150000001,-0.0031846580350000002
20:54:34:12.963,61,0.2513954341,0.262187928,0.1038896441,0.0,0.0,0.0797688961,0.0,0.2519318163,0.2625225782,0.0161982179,0.0,0.0,0.079762809,0.0,0.0207914375,0.0019676443,0.0,0.0469644964,0.0687851533,0.067964986,0.0641317666,0.0062152622,0.0,0.140358299,0.1754052788,0.0,0.0,0.033312425,0.0360701047,0.0919615403,0.0885920599,0.0748553798,0.0208474025,0.125013262,0.0814006776,0.0501614809,0.0519022532,0.1537430882,0.1429988146,0.0664483234,0.0696720183,0.0733389035,0.0733042732,0.0886783451,0.0,0.0,0.019753499,0.1070280001,0.1162210181,0.1484286487,0.1646554321,2.748e-07,-0.0035000017,-0.0586434789,-0.0004196646,-0.0097679626,0.1603736579,-0.0015800672,0.0626492873,0.160479039,0.0101341251,-0.04978841542,-0.002160970605,-0.003041708575
20:54:34:13.962,61,0.2523039281,0.2635039687,0.1042223871,0.0,0.0,0.079909794,0.0,0.2528455853,0.2638449073,0.0158739109,0.0,0.0,0.0799036548,0.0,0.0208656695,0.001918877,0.0,0.0471027382,0.0688962564,0.0681346282,0.0641130358,0.0060701631,0.0,0.1402123719,0.1754734516,0.0,0.0,0.0332818739,0.036059428,0.091949977,0.0886012912,0.074830465,0.0208724048,0.1248313859,0.0813491121,0.0501885377,0.0519277416,0.1542163193,0.1435016245,0.0666918904,0.0699552,0.073184453,0.0731502846,0.0886568949,0.0,0.0,0.0197198782,0.1073224992,0.116508767,0.1487785429,0.1650003046,1.819e-07,-0.0033900121,-0.0575309321,-0.0009071225,-0.0095711425,0.1611811668,-0.0015561626,0.0628417283,0.1612865627,0.0102172541,-0.052270305705000006,-0.00238534726,-0.002867239015
20:54:34:14.961,61,0.2530677021,0.2645684481,0.1038078666,0.0,0.0,0.0799507871,0.0,0.2536075115,0.2649084628,0.0162880253,0.0,0.0,0.0799445286,0.0,0.0209529139,0.0018218912,0.0,0.0472308993,0.0689757094,0.0684086159,0.0641257018,0.0060881083,0.0,0.139873296,0.1750477552,0.0,0.0,0.0332362168,0.0360121094,0.0918583721,0.0885004327,0.0747429952,0.020911308,0.1245856285,0.0812640712,0.050251998,0.0519906841,0.1547365189,0.1439943314,0.0669507831,0.0701986179,0.0729134306,0.0728796646,0.0887203589,0.0,0.0,0.0197447091,0.1075561717,0.1166569367,0.1491335928,0.165254578,1.712e-07,-0.0028642393,-0.0577239655,-0.0013259436,-0.0098197926,0.1618312448,-0.0016031419,0.062585175,0.1619355232,0.0102172615,-0.054743758950000006,-0.0026146657700000004,-0.002611036995
20:54:34:15.961,61,0.2535835803,0.2656072378,0.103476882,0.0,0.0,0.0799913481,0.0,0.2541095018,0.2659453452,0.0165886655,0.0,0.0,0.0799849853,0.0,0.0210056957,0.0018349231,0.0,0.0472334512,0.0689620152,0.0686417371,0.0641309991,0.0061504366,0.0,0.1395317018,0.174572736,0.0,0.0,0.0331675708,0.0359384753,0.0918755233,0.0885147303,0.0747846887,0.0208780188,0.1248798296,0.0815039277,0.0503823459,0.0521126911,0.1546351463,0.1438783109,0.0672041476,0.0704185814,0.0715076402,0.0714688748,0.0889363363,0.0,0.0,0.0198038202,0.1079078391,0.116951324,0.1495839804,0.1656067669,2.153e-07,-0.0025973641,-0.0567278117,-0.0020040625,-0.0100000091,0.1624649763,-0.0016390688,0.0623791479,0.1625692099,0.0102242334,-0.054570258955000006,-0.0026454865200000004,-0.0020350328649999996
20:54:34:16.961,61,0.2539492548,0.2675310373,0.1036702245,0.0,0.0,0.080066964,0.0,0.2544691861,0.2678748369,0.0164143033,0.0,0.0,0.0800605416,0.0,0.0210359469,0.0017449,0.0,0.0473441072,0.0690583214,0.0686792657,0.064170897,0.0060554571,0.0,0.1395381093,0.1745894998,0.0,0.0,0.0331647284,0.0359479673,0.0918487683,0.0885348395,0.0747218058,0.0208870787,0.1248009279,0.0815002844,0.0503942557,0.0521158427,0.1549197733,0.144184947,0.0673554391,0.0705925375,0.0714772865,0.0714377239,0.0888634548,0.0,0.0,0.0197535548,0.1079848334,0.1169721931,0.1496943384,0.16565907,1.748e-07,-0.0024260995,-0.0557690412,-0.0019298539,-0.0098929796,0.163643539,-0.0016335017,0.0624836236,0.1637478471,0.0103169158,-0.054384498845000004,-0.0026519288500000005,-0.00138215881
20:54:34:17.960,61,0.2541586757,0.2692247927,0.1038618982,0.0,0.0,0.0799158365,0.0,0.2546702623,0.2695739567,0.0162130315,0.0,0.0,0.0799093097,0.0,0.0210838262,0.0015914388,0.0,0.0475003608,0.0691966563,0.0687460452,0.0642053559,0.0060695969,0.0,0.1396690905,0.1745620966,0.0,0.0,0.0331453532,0.035924498,0.0917060524,0.0884207264,0.0745967478,0.0209264122,0.1244443655,0.0812863261,0.050375931,0.0520836897,0.1553538144,0.1445993483,0.0674427003,0.0706663206,0.0710391924,0.0709997118,0.0890189484,0.0,0.0,0.0197138842,0.1081278771,0.1170105338,0.1499452442,0.165840745,1.748e-07,-0.0018206474,-0.0558603927,-0.0023001826,-0.009769991,0.1646813005,-0.0016236119,0.0625884235,0.1647856683,0.0104008857,-0.05418489481,-0.0026624821550000006,-0.00058273817
20:54:34:18.959,61,0.2541141212,0.2706983387,0.1042607948,0.0,0.0,0.079599008,0.0,0.2546145916,0.2710550725,0.0157904364,0.0,0.0,0.0795923993,0.0,0.0211111214,0.0014642637,0.0,0.0475964472,0.0692607015,0.0689255297,0.0642984807,0.0059269425,0.0,0.1396662593,0.1746129692,0.0,0.0,0.0331204832,0.0359123014,0.091660969,0.0884295031,0.0744054914,0.0209203251,0.1243118122,0.0812413692,0.0503724478,0.0520712622,0.1556862444,0.1449870169,0.0676353797,0.0708924159,0.0695798993,0.0695430934,0.0893477947,0.0,0.0,0.0196966026,0.1081784666,0.1169949472,0.1502484977,0.1661091298,2.219e-07,-0.0007803331,-0.0542801134,-0.0027467932,-0.0095139015,0.1655856967,-0.0015898984,0.0628193691,0.1656900495,0.0104975589,-0.053875035409999994,-0.0027205225250000005,0.0003804789650000002
20:54:34:19.959,61,0.2541532218,0.2722184658,0.1053325459,0.0,0.0,0.0793550983,0.0,0.2546450794,0.2725907266,0.0147367818,0.0,0.0,0.0793484524,0.0,0.0211305656,0.0013025987,0.0,0.0478349812,0.0694755539,0.069013156,0.0645550042,0.0058220015,0.0,0.1393506229,0.1742705405,0.0,0.0,0.0331109874,0.035909377,0.0916182324,0.0884600282,0.0742478669,0.0209499672,0.124000594,0.0810593516,0.0502774492,0.0519611835,0.1560429633,0.1453850269,0.0676573291,0.0709339902,0.0691927075,0.0691569895,0.0894918069,0.0,0.0,0.0196460895,0.108100988,0.1168247089,0.1503450274,0.1661571413,1.434e-07,-0.0001290649,-0.0530867949,-0.0029552339,-0.0088776676,0.1665228307,-0.0014921315,0.0634552166,0.1666272879,0.0106647601,-0.05344242601499999,-0.0028149873800000003,0.0014082086800000003
20:54:34:20.959,61,0.2540672123,0.2724158168,0.1059672758,0.0,0.0,0.0789850503,0.0,0.2545529902,0.2727961838,0.0140603613,0.0,0.0,0.0789783746,0.0,0.021174809,0.001122119,0.0,0.0479999036,0.0695894733,0.0692886561,0.0648932233,0.0057979566,0.0,0.1388367414,0.1731064171,0.0,0.0,0.0330774933,0.0358758382,0.0914309323,0.0883364081,0.0740942731,0.021005366,0.1237885281,0.0809444636,0.0503177829,0.0519853495,0.1562801003,0.1456368417,0.0676719844,0.0709358603,0.0681877434,0.0681562722,0.0897352919,0.0,0.0,0.0197302066,0.1079806983,0.1165716872,0.1503527611,0.1660877019,1.378e-07,0.0010659773,-0.052556321,-0.0036124988,-0.0084700044,0.1666477472,-0.0014247024,0.0638362914,0.1667521894,0.010736906,-0.05287401879999999,-0.0029740608150000004,0.00254671127
