Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
11:52:03:30.327,61,0.0835139826,0.2383130342,0.1545961797,0.0000000000,0.0000000000,0.0388188027,0.0000000000,0.0836023018,0.2391166538,0.0000000000,0.0367245041,0.0000000000,0.0388188176,0.0000000000,0.0055311611,0.0030005057,0.0000000000,0.0164977927,0.0201091170,0.0062480890,0.0399478413,0.0056969952,0.0000000000,0.1869740039,0.2001726031,0.0000000000,0.0000000000,0.0350410156,0.0358941704,0.0282177906,0.0292056855,0.0216895547,0.0130416341,0.0858239979,0.0564428605,0.0273978431,0.0279269908,0.0312013142,0.0277653635,0.0130494451,0.0143312020,0.0386530347,0.0385850333,0.0376040228,0.0000000000,0.0000000000,0.0081551494,0.0295872241,0.0326990373,0.0565377772,0.0628022105,0.0000000318,0.0292667914,0.0812148377,0.0193842798,0.0221947860,0.1461043358,0.0032657473,0.0934355706,0.1462195069,0.0137394331
11:52:03:31.327,61,0.0835875198,0.2400823981,0.1547144949,0.0000000000,0.0000000000,0.0384607911,0.0000000000,0.0836748481,0.2408944070,0.0000000000,0.0368533544,0.0000000000,0.0384607762,0.0000000000,0.0054893014,0.0029472930,0.0000000000,0.0163326953,0.0199167896,0.0062011303,0.0398336425,0.0056881229,0.0000000000,0.1863185018,0.1997926384,0.0000000000,0.0000000000,0.0348361582,0.0356684476,0.0280575994,0.0290226154,0.0216229931,0.0129162204,0.0875259563,0.0573867895,0.0275403801,0.0280897748,0.0308310501,0.0274427459,0.0130912131,0.0143780429,0.0385737158,0.0385082439,0.0373431183,0.0000000000,0.0000000000,0.0081612552,0.0294281319,0.0325220227,0.0566045009,0.0628512055,0.0000000262,0.0289333705,0.0823170617,0.0193139184,0.0222690869,0.1471907794,0.0033013979,0.0934921578,0.1473059952,0.0138513539
11:52:03:32.326,61,0.0836823136,0.2420204133,0.1551841199,0.0000000000,0.0000000000,0.0379985906,0.0000000000,0.0837669149,0.2428451777,0.0000000000,0.0373352915,0.0000000000,0.0379985459,0.0000000000,0.0054501942,0.0028284390,0.0000000000,0.0161817223,0.0197533015,0.0061755623,0.0397798233,0.0057833535,0.0000000000,0.1861332804,0.1996271163,0.0000000000,0.0000000000,0.0346019752,0.0354010239,0.0279091261,0.0288488697,0.0215999112,0.0127793085,0.0904041529,0.0589842424,0.0277828034,0.0283499602,0.0304629318,0.0271213669,0.0131974528,0.0144871874,0.0385227203,0.0384587683,0.0371229947,0.0000000000,0.0000000000,0.0081810076,0.0293436032,0.0324076228,0.0568712130,0.0631005317,0.0000000337,0.0284821168,0.0845502540,0.0195655152,0.0225563031,0.1483837068,0.0033714720,0.0937594175,0.1484989226,0.0140049690
11:52:03:33.326,61,0.0856578723,0.2453279048,0.1545441300,0.0000000000,0.0000000000,0.0376813486,0.0000000000,0.0857296288,0.2461592853,0.0000000000,0.0366939195,0.0000000000,0.0376812965,0.0000000000,0.0054280292,0.0027810850,0.0000000000,0.0160852745,0.0196451414,0.0061583682,0.0397425927,0.0058196913,0.0000000000,0.1859154850,0.1994491518,0.0000000000,0.0000000000,0.0344377980,0.0352151096,0.0277861096,0.0287038647,0.0215958599,0.0126929823,0.0914411694,0.0596739873,0.0279541817,0.0285360478,0.0302163791,0.0269088540,0.0132722510,0.0145667708,0.0385792479,0.0385165103,0.0369806960,0.0000000000,0.0000000000,0.0081883902,0.0292763747,0.0323236920,0.0571069419,0.0633193851,0.0000000260,0.0282942075,0.0867218971,0.0193232540,0.0221620612,0.1504073441,0.0033584153,0.0933444127,0.1505225450,0.0141360303
11:52:03:34.325,61,0.0860495791,0.2440898716,0.1532091647,0.0000000000,0.0000000000,0.0375850983,0.0000000000,0.0861188769,0.2449020743,0.0000000000,0.0353122689,0.0000000000,0.0375850536,0.0000000000,0.0054299720,0.0027610592,0.0000000000,0.0160966255,0.0196542926,0.0061380914,0.0397260562,0.0057765138,0.0000000000,0.1860625148,0.1995420456,0.0000000000,0.0000000000,0.0343842730,0.0351643451,0.0277151503,0.0286402740,0.0216054339,0.0127025023,0.0914580524,0.0596741363,0.0279395394,0.0285228509,0.0302282814,0.0269223284,0.0132731143,0.0145716397,0.0389271565,0.0388655253,0.0368716121,0.0000000000,0.0000000000,0.0081745135,0.0292147305,0.0322720334,0.0571394712,0.0633346513,0.0000000284,0.0275954437,0.0882117748,0.0185564701,0.0213300604,0.1496364474,0.0032155372,0.0925486982,0.1497516781,0.0139430352
11:52:03:35.325,61,0.0860230252,0.2434647381,0.1529601067,0.0000000000,0.0000000000,0.0377751142,0.0000000000,0.0860908404,0.2442719638,0.0000000000,0.0350054801,0.0000000000,0.0377751142,0.0000000000,0.0054488131,0.0028466727,0.0000000000,0.0162635222,0.0198297706,0.0061577847,0.0398559347,0.0055439174,0.0000000000,0.1859287322,0.1995312721,0.0000000000,0.0000000000,0.0344070345,0.0352215990,0.0277416557,0.0287046861,0.0216408279,0.0128091658,0.0893849507,0.0590317361,0.0278039742,0.0283717625,0.0304632951,0.0271489397,0.0132237403,0.0145305581,0.0401739106,0.0401144326,0.0369915068,0.0000000000,0.0000000000,0.0081741922,0.0292373374,0.0323329568,0.0570301935,0.0632163957,0.0000000300,0.0278730299,0.0891289115,0.0185747892,0.0211459752,0.1492508650,0.0031794528,0.0924035907,0.1493661404,0.0138848592
11:52:03:36.324,61,0.0855990648,0.2420602739,0.1539516300,0.0000000000,0.0000000000,0.0380219519,0.0000000000,0.0856629014,0.2428724766,0.0000000000,0.0359340385,0.0000000000,0.0380219892,0.0000000000,0.0054508438,0.0030378762,0.0000000000,0.0164206047,0.0199851673,0.0061626453,0.0400092863,0.0052294391,0.0000000000,0.1849854738,0.1991793215,0.0000000000,0.0000000000,0.0344093107,0.0352710597,0.0277647488,0.0287715364,0.0216080789,0.0129185840,0.0864820033,0.0577603765,0.0275679752,0.0281130578,0.0306784548,0.0273621827,0.0131122479,0.0144273061,0.0422461964,0.0421792492,0.0370167084,0.0000000000,0.0000000000,0.0081662750,0.0291891489,0.0323309377,0.0567273311,0.0628909841,0.0000000178,0.0285210703,0.0889325589,0.0187466089,0.0217096806,0.1483975947,0.0032452571,0.0930144936,0.1485129297,0.0138953673
11:52:03:37.324,61,0.0852596015,0.2417222708,0.1552535295,0.0000000000,0.0000000000,0.0382947065,0.0000000000,0.0853195414,0.2425468713,0.0000000000,0.0372075066,0.0000000000,0.0382947698,0.0000000000,0.0054491311,0.0032167097,0.0000000000,0.0166120268,0.0201858897,0.0061809276,0.0402064882,0.0049526468,0.0000000000,0.1842373908,0.1987238079,0.0000000000,0.0000000000,0.0343971811,0.0353019014,0.0278227814,0.0288680736,0.0215621851,0.0130367912,0.0842007920,0.0564487949,0.0273126010,0.0278330632,0.0309355594,0.0276112184,0.0129930759,0.0143121304,0.0436473936,0.0435739122,0.0370859019,0.0000000000,0.0000000000,0.0081542581,0.0291917790,0.0323738046,0.0564422049,0.0625936463,0.0000000177,0.0286087170,0.0891279280,0.0188312735,0.0224797111,0.1482011825,0.0033558318,0.0938039199,0.1483166069,0.0139941406
11:52:03:38.323,61,0.0850268155,0.2413444668,0.1569475830,0.0000000000,0.0000000000,0.0385754481,0.0000000000,0.0850859731,0.2421853691,0.0000000000,0.0389330834,0.0000000000,0.0385755226,0.0000000000,0.0054576648,0.0032445951,0.0000000000,0.0167992841,0.0204119477,0.0062207584,0.0403452329,0.0049366606,0.0000000000,0.1867424548,0.1995539814,0.0000000000,0.0000000000,0.0345059298,0.0354248881,0.0279353559,0.0290075280,0.0215941444,0.0131478906,0.0830733404,0.0556922592,0.0271525476,0.0276490673,0.0312906317,0.0279171336,0.0129623180,0.0142751234,0.0439853556,0.0439101681,0.0374157727,0.0000000000,0.0000000000,0.0081368648,0.0293592438,0.0325467587,0.0563670471,0.0625366941,0.0000000160,0.0294110179,0.0895539299,0.0189189091,0.0235230289,0.1479838789,0.0035063266,0.0948306397,0.1480992436,0.0141258016
11:52:03:39.323,61,0.0850533471,0.2430150658,0.1577675492,0.0000000000,0.0000000000,0.0385018885,0.0000000000,0.0851153582,0.2438714653,0.0000000000,0.0398265570,0.0000000000,0.0385019556,0.0000000000,0.0054408819,0.0031682265,0.0000000000,0.0168254934,0.0204758681,0.0062452462,0.0403934680,0.0050583193,0.0000000000,0.1876722425,0.2001156360,0.0000000000,0.0000000000,0.0344640762,0.0353726596,0.0279681068,0.0290288348,0.0215813294,0.0131444540,0.0827407241,0.0554624163,0.0271271802,0.0276203491,0.0313828215,0.0279857740,0.0130028846,0.0143113174,0.0425393693,0.0424701162,0.0376584344,0.0000000000,0.0000000000,0.0081263669,0.0294598900,0.0326348804,0.0564889684,0.0627116635,0.0000000145,0.0305144712,0.0892020166,0.0186865497,0.0240591466,0.1490160674,0.0036116105,0.0953115225,0.1491313577,0.0142976083
